rarad,decrad,mag,ci
8.76262870725e-05,0.678222362554,6.61,-0.019
0.000930448947007,0.668531783713,6.53,0.955
0.00138766070106,-0.773016123639,6.28,0.763
0.00173786217452,0.469809616739,6.43,0.514
0.00224960785152,1.03951250492,6.18,1.032
0.00249580747502,-0.926729909483,6.49,0.616
0.0031728632804,0.789819667333,6.36,-0.047
0.00469695981215,-0.851893035343,5.71,0.911
0.00576302177771,0.872342747307,6.22,0.97
0.00582625837159,-0.87855289976,5.53,1.615
0.00696808335394,-1.34505063043,4.78,1.254
0.00705529322065,1.06853944916,5.58,0.407
0.00722475949723,1.28476908967,6.5,0.182
0.00739060959434,-0.700727039531,6.62,0.545
0.00748200279215,0.423296669782,6.6,1.153
0.00755206877232,0.739446154914,6.25,-0.042
0.00795931176062,-0.0528399088173,5.13,-0.128
0.00855347867621,-0.104965358844,4.37,1.631
0.00946108171981,0.472674535798,5.8,0.69
0.0100146100271,1.05947014225,6.77,1.832
0.0101752527888,-0.518719079103,5.04,-0.15
0.0104841170936,0.156326061649,6.33,0.182
0.010886699497,0.148099268993,5.7,0.315
0.0113507568384,1.15364459036,5.87,1.073
0.0129070252398,-0.349866643847,6.25,0.526
0.0136609804254,-0.421412286203,6.46,1.176
0.0136964569911,0.746091737103,6.73,0.051
0.014058103519,0.306344875191,6.59,1.122
0.0149600202827,1.11073660737,6.24,0.332
0.0161335248047,0.84538350057,6.8,0.06
0.0163180279736,-0.302570063826,4.55,-0.047
0.0168447494306,1.16434724127,6.31,1.629
0.018446903003,1.0871248133,5.9,0.274
0.0188926559878,-0.288486102726,5.78,1.084
0.0189306325779,-0.510837306071,6.38,0.006
0.0196435746864,-0.183425783964,4.99,1.619
0.0201141284909,0.734653246978,6.11,0.159
0.0204545826359,-1.24680896178,5.59,-0.1
0.020499854618,1.17227561862,5.68,1.051
0.0213557985669,0.604927571906,6.09,0.632
0.021450948336,1.02157902304,6.61,0.025
0.0215251947489,0.465108677044,6.25,1.368
0.021902641231,0.483016096293,6.47,0.946
0.0220946140149,-0.0087796252614,6.32,1.099
0.0222631931989,1.07013065402,5.8,-0.067
0.0225267355677,0.789395477456,6.71,0.068
0.0232813053283,-0.0996167298746,4.61,1.029
0.0248680747188,0.233808955838,5.55,0.901
0.0262188590761,0.493525863045,6.62,1.531
0.0264892871606,0.705436428129,6.65,0.912
0.0273204253073,1.01991339082,5.98,0.687
0.0275615650968,-0.856523664303,5.7,0.519
0.0281094364856,1.12043450742,5.57,-0.023
0.0287645363283,0.498350910617,6.68,0.986
0.0288526285096,0.506520757604,6.07,0.752
